text,heading,href,date,article_index,tag
"– Selvsagt ikke. Alle ambisiøse trenere, og det er ingen forskjell på andre trenere og meg selv når det gjelder det, ønsker å ta raskere og større steg i riktig retning, sier Manchester United-manager Ralf Rangnick på pressekonferansen før møtet med Burnley.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
Det er en måned siden tyskeren ble offentliggjort som Manchester Uniteds manager ut sesongen etter at Ole Gunnar Solskjær fikk sparken tidligere i år.,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"Han ledet United til 1–0-seirer mot Crystal Palace og Norwich, men mot Newcastle endte det 1–1 etter en skuffende prestasjon.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"– For å bli bedre er man nødt til å trene, og som dere vet måtte vi stenge Carrington i fire dager. Før det hadde vi åtte-ni utespillere på trening, sier Rangnick.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"– De tre siste dagene var vi nesten tilbake til full styrke når det gjelder størrelsen på troppen, men vi kunne ikke gjøre så mye på trening. På den annen side så laget bra ut på de to-tre treningsøktene. Derfor var måten vi spilte på en negativ overraskelse, sier Rangnick.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
Manchester United-manageren nevner blant annet tempo og fysikk når han skal sette fingeren på hva han ikke var fornøyd.,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"Midtstopperen Raphaël Varane var tilbake fra skade, men rotet vekk ballen slik at Allan Saint-Maximin sendte Newcastle i føringen før syv minutter var spilt.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"– Raphaël har ikke spilt på fem-seks uker, og selv før Tottenham-kampen (hvor han ble skadet) var han skadet, så han har ikke spilt så mange kamper de siste tre månedene. Ja, han gjorde en feil før det første målet, men bortsett fra det var han ok. Jeg ville ikke si at han var fremragende, men han gjorde det greit, sier Rangnick til franskmannens forsvar.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
VG-tips: Manchester United – Burnley,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,h2
Premier League,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,h3
Mer om,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,h2
Iversen tror han reiser hjem etter fiasko: − Tragisk,Iversen tror han reiser hjem etter fiasko: − Tragisk,https://vg.no/sport/fotball/i/EaLP4o/iversen-tror-han-reiser-hjem-etter-fiasko-tragisk,2022-01-01,7.0,h1
"LENZERHEIDE/OSLO (VG) Emil Iversen (30) klarte ikke å ta seg videre fra prologen på tirsdag, og fulgte opp med en 59. plass på 15-kilometeren onsdag.",Iversen tror han reiser hjem etter fiasko: − Tragisk,https://vg.no/sport/fotball/i/EaLP4o/iversen-tror-han-reiser-hjem-etter-fiasko-tragisk,2022-01-01,7.0,p
"– Det frister ikke å gå flere skirenn nå. Det er blytungt og jeg har ikke gode svar på hvorfor det er slik. Jeg har veldig lyst til å dra hjem, sier Iversen i pressesonen.",Iversen tror han reiser hjem etter fiasko: − Tragisk,https://vg.no/sport/fotball/i/EaLP4o/iversen-tror-han-reiser-hjem-etter-fiasko-tragisk,2022-01-01,7.0,p
Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,h1
"Chelsea-manager Thomas Tuchel er klar på at han ikke har noe problem med den tette terminlisten i romjulen, men forstår ikke at det fremdeles er maksimalt tre bytter i Premier League-kampene. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
Her er onsdagens oddstips!,Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"I en kort periode i fjor da Premier League startet opp igjen etter at coronaviruset først brøt ut, var det tillatt med fem bytter i Premier League. Men både forrige sesong og denne sesongen har det vært maksimalt tre bytter – det til tross for at det er fem bytter i de europeiske klubbturneringene som Champions League og i de andre største ligaene i Europa. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"Managerne til de største engelske klubbene har gjentatte ganger tatt til orde for en regelendring – en regelendring som også fotballens internasjonale lovkomité (IFAB) gikk inn for i oktober. Tirsdag ble det satt nye smitterekord i England med 117 093 nye coronatilfeller, og det er noe Chelsea-manager Thomas Tuchel sier han ikke kan forstå. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"– Det gir absolutt ingen mening. Terminlisten er ikke problemet, vi elsker den. Fem bytter ble tillatt i England da coronaen først kom. Nå som vi er midt oppe i det, får jeg følelsen at alle nekter å snakke om det og nekter å tenke på det, sier Tuchel på en pressekonferanse ifølge The Guardian. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"Han mener at flere bytter vil gjøre det mulig å fordele kampbelastningen bedre, og bruker sin egen midtbane som et eksempel. Der sliter både N’Golo Kanté og Ruben Loftus-Cheek med mindre skader. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"– Én positiv test på midten kan være nok til at alt kollapser igjen, for da må Kovacic spille 90 minutter igjen. Fra hvilket grunnlag? Ut av ingenting. Du risikerer skader – det er det vi gjør for øyeblikket. Jeg kan ikke si mer og jeg kan ikke si at vi er forbi coronatrusselen, sier Tuchel. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"Flere Chelsea-spillere – både fullvaksinerte og uvaksinerte – har i løpet av desember blitt smittet av coronaviruset. Etter at Chelsea vant 3–1 borte mot Aston Villa på andre juledag, innrømmet også Tuchel at han hadde gitt mer spilletid til både Romelu Lukaku og Callum Hudson-Odoi enn hva klubbens leger og fysiske apparat anbefalte.",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
"– Vi ga ham 45 minutter ute på banen, noe som var med enn både det fysiske og medisinske apparatet anbefalte. Men vi tenkte at vi kunne ta den risikoen og være mer offensive med ham, sa Tuchel ifølge BBC om Lukaku, som kom inn og scoret i den andre omgangen mot Aston Villa. ",Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,p
VG-tips: Chelsea – Brighton,Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01,8.0,h2
Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,https://vg.no/sport/fotball/i/japE40/thomas-lehne-olsen-forlater-lillestroem-klar-for-dubai,2022-01-01,9.0,h1
Lillestrøm-toppscorer Thomas Lehne Olsen er klar for Dubai og klubben Shabab Al-Ahli Club.,Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,https://vg.no/sport/fotball/i/japE40/thomas-lehne-olsen-forlater-lillestroem-klar-for-dubai,2022-01-01,9.0,p
Det bekrefter klubbene.,Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,https://vg.no/sport/fotball/i/japE40/thomas-lehne-olsen-forlater-lillestroem-klar-for-dubai,2022-01-01,9.0,p
Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,https://vg.no/sport/fotball/i/qW7g8g/fjoertoft-var-lagkamerat-med-hugo-maradona-veldig-trist-at-han-er-doed,2022-01-01,10.0,h1
Jan Åge Fjørtoft (54) husker godt da han ble lagkamerat med Hugo Maradona (52) i Rapid Wien. I dag døde lillebroren til Diego i sitt hjem i Napoli. ,Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,https://vg.no/sport/fotball/i/qW7g8g/fjoertoft-var-lagkamerat-med-hugo-maradona-veldig-trist-at-han-er-doed,2022-01-01,10.0,p
"– Hugo var bare en ung mann, så det er veldig trist at han er død. Jeg husker veldig godt at han var innom Rapid Wien, sier Fjørtoft til VG. ",Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,https://vg.no/sport/fotball/i/qW7g8g/fjoertoft-var-lagkamerat-med-hugo-maradona-veldig-trist-at-han-er-doed,2022-01-01,10.0,p
Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,https://vg.no/sport/fotball/i/XqeQEn/neville-kritiserer-united-stjernenes-kroppsspraak-irritert-meg-i-to-maaneder,2022-01-01,11.0,h1
(Newcastle United – Manchester United 1–1) Tidligere Manchester United-back Gary Neville gir sitt gamle lag hard medfart og sier de er en gjeng med sutrepaver.,Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,https://vg.no/sport/fotball/i/XqeQEn/neville-kritiserer-united-stjernenes-kroppsspraak-irritert-meg-i-to-maaneder,2022-01-01,11.0,p
"– De løper og sutrer på hverandre. De er en gjeng med sutrepaver. Bare se på dem på banen, armene er i været og de klager på alt. Ærlig talt, det var helt sjokkerende i første omgang.",Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,https://vg.no/sport/fotball/i/XqeQEn/neville-kritiserer-united-stjernenes-kroppsspraak-irritert-meg-i-to-maaneder,2022-01-01,11.0,p
Howe hyller Rangnick: − En pionér,Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,h1
"Eddie Howe (44) har fått en vanskelig start på livet som Newcastle-manager. Mandag venter Manchester United, som har begynt å finne tilbake til gamle takter etter sparkingen av Ole Gunnar Solskjær.",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
Her er mandagens oddstips!,Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"Starten på 2021/22-sesongen ble turbulent for Manchester United. Laget slet defensivt og holdt nullen kun to ganger på 17 kamper, før Ole Gunnar Solskjær fikk sparken etter tapet mot Watford 20. november. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"Siden hadde først Michael Carrick ansvaret i tre kamper, før Ralf Rangnick kom inn. Tyskeren skal lede Manchester United ut sesongen, og etter Solskjærs sparking står Manchester United med fire seirer og to uavgjort, avansement i Champions League. De har også holdt nullen i tre av seks kamper. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"Eddie Howe tok over som Newcastle-manager den 8. november, og i serien har det kun blitt fem poeng på syv kamper. Dermed har også Newcastle holdt seg på nedrykksplass under Howes korte tid i klubben.",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"På pressekonferansen før de to lagene skal møtes mandag kveld, tok Howe seg tid til å skryte av Rangnick. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"– Jeg vet at han har hatt stor innflytelse på noen aktive og suksessfulle managere i Premier League. Han er blant de managerne som har endret en kultur. Han har kommet med mange nye ideer, som mange har fulgt etter, sier Howe. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"Rangnick har tidligere fått kallenavnet «Gudfaren av Gegenpress», og har inspirert blant andre Liverpool-manager Jürgen Klopp, Chelsea-manager Thomas Tuchel og Southampton-manager Ralph Hasenhüttl.",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"– Han er definitivt en pionér innenfor fotballen. Han er en person som jeg har hatt et par samtaler med i løpet av årene som har gått, og han er en person jeg har mye respekt for og som jeg beundrer, sier Howe. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
