,heading,href,date
1145,Solbakken begeistret av Haaland i monster-modus: − Aldri før vist på norsk jord,https://vg.no/sport/fotball/i/v5K0Mw/solbakken-begeistret-av-haaland-i-monster-modus-aldri-foer-vist-paa-norsk-jord,2022-04-01
1146,Lewandowski og co. senket den svenske VM-drømmen – Zlatan åpner for å fortsette,https://vg.no/sport/fotball/i/478yje/lewandowski-og-co-senket-den-svenske-vm-droemmen-zlatan-aapner-for-aa-fortsette,2022-04-01
1147,King innrømmer frustrasjon: − Det har ikke vært lett,https://vg.no/sport/fotball/i/k6O2gL/king-innroemmer-frustrasjon-det-har-ikke-vaert-lett,2022-04-01
1148,Haaland bryter tausheten etter kritikken,https://vg.no/sport/fotball/i/pWk7yX/haaland-bryter-tausheten-etter-kritikken,2022-04-01
1149,VG-børsen: Haaland ledet an mot syltynn motstand,https://vg.no/sport/fotball/i/28eE0v/vg-boersen-haaland-ledet-an-mot-syltynn-motstand,2022-04-01
1150,Haaland meid ned i Norges største seier på 30 år: − Mye blod rundt anklene,https://vg.no/sport/fotball/i/k6O26a/haaland-meid-ned-i-norges-stoerste-seier-paa-30-aar-mye-blod-rundt-anklene,2022-04-01
1151,Norges U21-gruppe vidåpen etter smell mot Østerrike og kroatisk tap: − Kaoskamp,https://vg.no/sport/fotball/i/y4MWXe/norges-u21-gruppe-vidaapen-etter-smell-mot-oesterrike-og-kroatisk-tap-kaoskamp,2022-04-01
1152,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-01
1153,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-01
1154,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-01
1155,"Klopp: − Hvis du ikke kan rope eller synge, bli hjemme",https://vg.no/sport/fotball/i/g6ew5a/klopp-hvis-du-ikke-kan-rope-eller-synge-bli-hjemme,2022-04-02
1156,Nå bruker Rekdal mentaltrener: − Handler om å maksimere seg selv,https://vg.no/sport/fotball/i/66A6X3/naa-bruker-rekdal-mentaltrener-handler-om-aa-maksimere-seg-selv,2022-04-02
1157,VM-gruppene er klare: Danmark møter regjerende mester Frankrike,https://vg.no/sport/fotball/i/nWjWrL/vm-gruppene-er-klare-danmark-moeter-regjerende-mester-frankrike,2022-04-02
1158,Horneland etter «skandaleåret»: − Vi skal rett opp,https://vg.no/sport/fotball/i/5Gqnvz/horneland-etter-skandaleaaret-vi-skal-rett-opp,2022-04-02
1159,Fantasy Premier League Gameweek 31: Stabling og «Free Hit»-planlegging,https://vg.no/sport/fotball/i/y4j59x/fantasy-premier-league-gameweek-31-stabling-og-free-hit-planlegging,2022-04-02
1160,Molde-trener Moe avviser mål-problem: − Jeg er ikke bekymret,https://vg.no/sport/fotball/i/5Gqn7K/molde-trener-moe-avviser-maal-problem-jeg-er-ikke-bekymret,2022-04-02
1161,Ada Hegerberg tilbake med scoring: Sendte Lyon til semifinalen,https://vg.no/sport/fotball/i/k6j6Xj/ada-hegerberg-tilbake-med-scoring-sendte-lyon-til-semifinalen,2022-04-02
1162,Ingen tror på RBK-gull: − De er ikke gode nok,https://vg.no/sport/fotball/i/oWGqbg/ingen-tror-paa-rbk-gull-de-er-ikke-gode-nok,2022-04-02
1163,Russland på FIFA-kongressen: − Vi kommer ikke til å gjemme oss,https://vg.no/sport/fotball/i/KzAp7M/russland-paa-fifa-kongressen-vi-kommer-ikke-til-aa-gjemme-oss,2022-04-02
1164,"De har slått RBK i år: − Mer solide i fjor, det er det ingen tvil om",https://vg.no/sport/fotball/i/667Gze/de-har-slaatt-rbk-i-aar-mer-solide-i-fjor-det-er-det-ingen-tvil-om,2022-04-02
1165,VM-arrangøren i Qatar reagerte på Klaveness-kritikk: − Vil uttrykke skuffelse,https://vg.no/sport/fotball/i/XqQ8wo/vm-arrangoeren-i-qatar-reagerte-paa-klaveness-kritikk-vil-uttrykke-skuffelse,2022-04-02
1166,Haalands fot er «helt bøyd» – usikker til helgens storkamp,https://vg.no/sport/fotball/i/0GAKoo/haalands-fot-er-helt-boeyd-usikker-til-helgens-storkamp,2022-04-02
1167,Fantasy Eliteserien: Spillerne du må ha,https://vg.no/sport/fotball/i/lV5813/fantasy-eliteserien-spillerne-du-maa-ha,2022-04-02
1168,Dønnum fikk krass holdningskritikk i Belgia: − Kan ikke ta det til deg,https://vg.no/sport/fotball/i/5G4mqK/doennum-fikk-krass-holdningskritikk-i-belgia-kan-ikke-ta-det-til-deg,2022-04-02
1169,Hegerberg og Ødegaard barket sammen i 2019: − Lagt bak meg for lenge siden,https://vg.no/sport/fotball/i/Bj12B0/hegerberg-og-oedegaard-barket-sammen-i-2019-lagt-bak-meg-for-lenge-siden,2022-04-02
1170,Graham Hansen scoret da det ble satt verdensrekord: − Måtte holde tårene tilbake,https://vg.no/sport/fotball/i/V93OKl/graham-hansen-scoret-da-det-ble-satt-verdensrekord-maatte-holde-taarene-tilbake,2022-04-02
1171,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-02
1172,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-02
1173,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-02
1174,Manchester United sviktet – avga viktige poeng i jakten på Champions League-plass,https://vg.no/sport/fotball/i/dn9v8w/manchester-united-sviktet-avga-viktige-poeng-i-jakten-paa-champions-league-plass,2022-04-03
1175,Haaland fortvilet i Dortmund-fiasko: − Alle er veldig skuffet,https://vg.no/sport/fotball/i/KzA6RE/haaland-fortvilet-i-dortmund-fiasko-alle-er-veldig-skuffet,2022-04-03
1176,Linnes sendte Molde til himmels – Dønnum utvist i comebacket,https://vg.no/sport/fotball/i/7dAVxv/linnes-sendte-molde-til-himmels-doennum-utvist-i-comebacket,2022-04-03
1177,VM-sjefen tok kontakt med Klaveness etter tordentalen,https://vg.no/sport/fotball/i/9KAb9d/vm-sjefen-tok-kontakt-med-klaveness-etter-tordentalen,2022-04-03
1178,LSK slo tilbake i Eriksens drømmedebut: − Det var fantastisk,https://vg.no/sport/fotball/i/dn9vJo/lsk-slo-tilbake-i-eriksens-droemmedebut-det-var-fantastisk,2022-04-03
1179,Klopp mener Premier League er viktigst: − Denne uken kan avgjøre mye,https://vg.no/sport/fotball/i/EaAJlj/klopp-mener-premier-league-er-viktigst-denne-uken-kan-avgjoere-mye,2022-04-03
1180,Maguire ble buet på av egne fans: − Det skal ikke skje hos oss,https://vg.no/sport/fotball/i/qWB1qw/maguire-ble-buet-paa-av-egne-fans-det-skal-ikke-skje-hos-oss,2022-04-03
1181,Følte seg «lost» i hjembyen – syv år senere debuterer han,https://vg.no/sport/fotball/i/5GqBmO/foelte-seg-lost-i-hjembyen-syv-aar-senere-debuterer-han,2022-04-03
1182,Stray Spetalen-selskap gir gress-penger til Lillestrøm og Sandefjord,https://vg.no/sport/fotball/i/1OpPqW/stray-spetalen-selskap-gir-gress-penger-til-lillestroem-og-sandefjord,2022-04-03
1183,"Klopp: − Hvis du ikke kan rope eller synge, bli hjemme",https://vg.no/sport/fotball/i/g6ew5a/klopp-hvis-du-ikke-kan-rope-eller-synge-bli-hjemme,2022-04-03
1184,Nå bruker Rekdal mentaltrener: − Handler om å maksimere seg selv,https://vg.no/sport/fotball/i/66A6X3/naa-bruker-rekdal-mentaltrener-handler-om-aa-maksimere-seg-selv,2022-04-03
1185,VM-gruppene er klare: Danmark møter regjerende mester Frankrike,https://vg.no/sport/fotball/i/nWjWrL/vm-gruppene-er-klare-danmark-moeter-regjerende-mester-frankrike,2022-04-03
1186,Horneland etter «skandaleåret»: − Vi skal rett opp,https://vg.no/sport/fotball/i/5Gqnvz/horneland-etter-skandaleaaret-vi-skal-rett-opp,2022-04-03
1187,Fantasy Premier League Gameweek 31: Stabling og «Free Hit»-planlegging,https://vg.no/sport/fotball/i/y4j59x/fantasy-premier-league-gameweek-31-stabling-og-free-hit-planlegging,2022-04-03
1188,Molde-trener Moe avviser mål-problem: − Jeg er ikke bekymret,https://vg.no/sport/fotball/i/5Gqn7K/molde-trener-moe-avviser-maal-problem-jeg-er-ikke-bekymret,2022-04-03
1189,Ada Hegerberg tilbake med scoring: Sendte Lyon til semifinalen,https://vg.no/sport/fotball/i/k6j6Xj/ada-hegerberg-tilbake-med-scoring-sendte-lyon-til-semifinalen,2022-04-03
1190,Ingen tror på RBK-gull: − De er ikke gode nok,https://vg.no/sport/fotball/i/oWGqbg/ingen-tror-paa-rbk-gull-de-er-ikke-gode-nok,2022-04-03
1191,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-03
1192,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-03
1193,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-03
1194,Mener RBK-unggutt skulle vært utvist: − Hadde hjertet i halsen,https://vg.no/sport/fotball/i/5GqRdW/mener-rbk-unggutt-skulle-vaert-utvist-hadde-hjertet-i-halsen,2022-04-04
1195,VAR-dramatikk i tittelkampen,https://vg.no/sport/fotball/i/bGrqJg/var-dramatikk-i-tittelkampen,2022-04-04
1196,Børkeeiets lekre dobbel sikret Rekdal og Rosenborg poeng på Aspmyra,https://vg.no/sport/fotball/i/XqQWJm/boerkeeiets-lekre-dobbel-sikret-rekdal-og-rosenborg-poeng-paa-aspmyra,2022-04-04
1197,Tripic ble den store helten: − Mange ting som smakte godt i dag,https://vg.no/sport/fotball/i/V9wQqW/tripic-ble-den-store-helten-mange-ting-som-smakte-godt-i-dag,2022-04-04
1198,Barmen helten i AaFKs bunnsolide eliteserie-comeback,https://vg.no/sport/fotball/i/L5OWpJ/barmen-helten-i-aafks-bunnsolide-eliteserie-comeback,2022-04-04
1199,Ruud Tveter med hat trick da Sandefjord banket Haugesund,https://vg.no/sport/fotball/i/mrj3Pq/ruud-tveter-med-hat-trick-da-sandefjord-banket-haugesund,2022-04-04
1200,Gamle Ruud åpnet festen for nye Odd: − Det er deilig ,https://vg.no/sport/fotball/i/x8jQGn/gamle-ruud-aapnet-festen-for-nye-odd-det-er-deilig,2022-04-04
1201,Brann med drømmestart på Obos-sesongen etter enorm keepertabbe,https://vg.no/sport/fotball/i/eExdvg/brann-med-droemmestart-paa-obos-sesongen-etter-enorm-keepertabbe,2022-04-04
1202,Nådeløs dom mot Haaland og lagkameratene: − Den absolutte maksstraffen,https://vg.no/sport/fotball/i/28Am1v/naadeloes-dom-mot-haaland-og-lagkameratene-den-absolutte-maksstraffen,2022-04-04
1203,Ekspertene reagerer på glisne Molde-tribuner: − Uvirkelig,https://vg.no/sport/fotball/i/343qL0/ekspertene-reagerer-paa-glisne-molde-tribuner-uvirkelig,2022-04-04
1204,Manchester United sviktet – avga viktige poeng i jakten på Champions League-plass,https://vg.no/sport/fotball/i/dn9v8w/manchester-united-sviktet-avga-viktige-poeng-i-jakten-paa-champions-league-plass,2022-04-04
1205,Haaland fortvilet i Dortmund-fiasko: − Alle er veldig skuffet,https://vg.no/sport/fotball/i/KzA6RE/haaland-fortvilet-i-dortmund-fiasko-alle-er-veldig-skuffet,2022-04-04
1206,Linnes sendte Molde til himmels – Dønnum utvist i comebacket,https://vg.no/sport/fotball/i/7dAVxv/linnes-sendte-molde-til-himmels-doennum-utvist-i-comebacket,2022-04-04
1207,VM-sjefen tok kontakt med Klaveness etter tordentalen,https://vg.no/sport/fotball/i/9KAb9d/vm-sjefen-tok-kontakt-med-klaveness-etter-tordentalen,2022-04-04
1208,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-04
1209,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-04
1210,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-04
1211,Ødegaard lagde straffe da Arsenal ble knust i London-duell: − Fryktelig kamp,https://vg.no/sport/fotball/i/XqQEo7/oedegaard-lagde-straffe-da-arsenal-ble-knust-i-london-duell-fryktelig-kamp,2022-04-05
1212,Hegerberg hyller Klaveness: − Burde være en ekstrem inspirasjon,https://vg.no/sport/fotball/i/EaAKP3/hegerberg-hyller-klaveness-burde-vaere-en-ekstrem-inspirasjon,2022-04-05
1213,«Paco» om nye Odd: − Vi skal være modige,https://vg.no/sport/fotball/i/qWBmbz/paco-om-nye-odd-vi-skal-vaere-modige,2022-04-05
1214,Dortmund-topp med Haaland-beskjed til VG: Ingen dialog om fremtiden,https://vg.no/sport/fotball/i/g6ezV5/dortmund-topp-med-haaland-beskjed-til-vg-ingen-dialog-om-fremtiden,2022-04-05
1215,Tripic om Berisha-bråket: − Håndtert på en fantastisk måte,https://vg.no/sport/fotball/i/nWjmKL/tripic-om-berisha-braaket-haandtert-paa-en-fantastisk-maate,2022-04-05
1216,«Idioten» Skarsem løftet nederlagsdømte RBK: − Hele Fotball-Norge har flirt og kost seg,https://vg.no/sport/fotball/i/7dARkv/idioten-skarsem-loeftet-nederlagsdoemte-rbk-hele-fotball-norge-har-flirt-og-kost-seg,2022-04-05
1217,Mener RBK-unggutt skulle vært utvist: − Hadde hjertet i halsen,https://vg.no/sport/fotball/i/5GqRdW/mener-rbk-unggutt-skulle-vaert-utvist-hadde-hjertet-i-halsen,2022-04-05
1218,VAR-dramatikk i tittelkampen,https://vg.no/sport/fotball/i/bGrqJg/var-dramatikk-i-tittelkampen,2022-04-05
1219,Børkeeiets lekre dobbel sikret Rekdal og Rosenborg poeng på Aspmyra,https://vg.no/sport/fotball/i/XqQWJm/boerkeeiets-lekre-dobbel-sikret-rekdal-og-rosenborg-poeng-paa-aspmyra,2022-04-05
1220,Tripic ble den store helten: − Mange ting som smakte godt i dag,https://vg.no/sport/fotball/i/V9wQqW/tripic-ble-den-store-helten-mange-ting-som-smakte-godt-i-dag,2022-04-05
1221,Barmen helten i AaFKs bunnsolide eliteserie-comeback,https://vg.no/sport/fotball/i/L5OWpJ/barmen-helten-i-aafks-bunnsolide-eliteserie-comeback,2022-04-05
1222,Ruud Tveter med hat trick da Sandefjord banket Haugesund,https://vg.no/sport/fotball/i/mrj3Pq/ruud-tveter-med-hat-trick-da-sandefjord-banket-haugesund,2022-04-05
1223,Gamle Ruud åpnet festen for nye Odd: − Det er deilig ,https://vg.no/sport/fotball/i/x8jQGn/gamle-ruud-aapnet-festen-for-nye-odd-det-er-deilig,2022-04-05
1224,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-05
1225,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-05
1226,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-05
1227,Magisk timing ga Manchester City første stikk,https://vg.no/sport/fotball/i/v5jX4L/magisk-timing-ga-manchester-city-foerste-stikk,2022-04-06
1228,Drømmeutgangspunkt for Liverpool – satte ny klubbrekord,https://vg.no/sport/fotball/i/343Qaq/droemmeutgangspunkt-for-liverpool-satte-ny-klubbrekord,2022-04-06
1229,Braut Brunes (21) herjet som fetter Haaland: − En av de kjekkeste dagene i mitt liv,https://vg.no/sport/fotball/i/ALVqBM/braut-brunes-21-herjet-som-fetter-haaland-en-av-de-kjekkeste-dagene-i-mitt-liv,2022-04-06
1230,Skråsikker Benzema: − Når vi får Mbappé vil vi score dobbelt så mange mål,https://vg.no/sport/fotball/i/47AXmV/skraasikker-benzema-naar-vi-faar-mbappe-vil-vi-score-dobbelt-saa-mange-maal,2022-04-06
1231,Graham Hansen: − Føler denne konflikten er medieskapt,https://vg.no/sport/fotball/i/0GAkOG/graham-hansen-foeler-denne-konflikten-er-medieskapt,2022-04-06
1232,Utålmodigheten har overrasket Rekdal: − Naivt å tenke at en ung tropp skal bli voksen over natten,https://vg.no/sport/fotball/i/5Gqr6O/utaalmodigheten-har-overrasket-rekdal-naivt-aa-tenke-at-en-ung-tropp-skal-bli-voksen-over-natten,2022-04-06
1233,Ødegaard lagde straffe da Arsenal ble knust i London-duell: − Fryktelig kamp,https://vg.no/sport/fotball/i/XqQEo7/oedegaard-lagde-straffe-da-arsenal-ble-knust-i-london-duell-fryktelig-kamp,2022-04-06
1234,Hegerberg hyller Klaveness: − Burde være en ekstrem inspirasjon,https://vg.no/sport/fotball/i/EaAKP3/hegerberg-hyller-klaveness-burde-vaere-en-ekstrem-inspirasjon,2022-04-06
1235,«Paco» om nye Odd: − Vi skal være modige,https://vg.no/sport/fotball/i/qWBmbz/paco-om-nye-odd-vi-skal-vaere-modige,2022-04-06
1236,Dortmund-topp med Haaland-beskjed til VG: Ingen dialog om fremtiden,https://vg.no/sport/fotball/i/g6ezV5/dortmund-topp-med-haaland-beskjed-til-vg-ingen-dialog-om-fremtiden,2022-04-06
1237,Tripic om Berisha-bråket: − Håndtert på en fantastisk måte,https://vg.no/sport/fotball/i/nWjmKL/tripic-om-berisha-braaket-haandtert-paa-en-fantastisk-maate,2022-04-06
1238,«Idioten» Skarsem løftet nederlagsdømte RBK: − Hele Fotball-Norge har flirt og kost seg,https://vg.no/sport/fotball/i/7dARkv/idioten-skarsem-loeftet-nederlagsdoemte-rbk-hele-fotball-norge-har-flirt-og-kost-seg,2022-04-06
1239,Mener RBK-unggutt skulle vært utvist: − Hadde hjertet i halsen,https://vg.no/sport/fotball/i/5GqRdW/mener-rbk-unggutt-skulle-vaert-utvist-hadde-hjertet-i-halsen,2022-04-06
1240,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-06
1241,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-06
1242,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-06
1243,Ny Qatar-rapport slakter arbeidsforhold: − Veldig mye av det Klaveness sa er riktig,https://vg.no/sport/fotball/i/mrjEVq/ny-qatar-rapport-slakter-arbeidsforhold-veldig-mye-av-det-klaveness-sa-er-riktig,2022-04-07
1244,Benzema senket Chelsea: Hat trick – igjen ,https://vg.no/sport/fotball/i/8QA1gE/benzema-senket-chelsea-hat-trick-igjen,2022-04-07
1245,Mourinho slakter kunstgress: − En helt annen idrett,https://vg.no/sport/fotball/i/V9w2X4/mourinho-slakter-kunstgress-en-helt-annen-idrett,2022-04-07
1246,Nå kan Ada Hegerberg få selskap av storesøster på landslaget,https://vg.no/sport/fotball/i/28A0qB/naa-kan-ada-hegerberg-faa-selskap-av-storesoester-paa-landslaget,2022-04-07
1247,Ble cuphelt: Eikrem-dobbel sendte Molde til Ullevaal,https://vg.no/sport/fotball/i/JxA2L8/ble-cuphelt-eikrem-dobbel-sendte-molde-til-ullevaal,2022-04-07
1248,Landslagskometen om Hegerberg: − Har virkelig vært et forbilde,https://vg.no/sport/fotball/i/lVjagy/landslagskometen-om-hegerberg-har-virkelig-vaert-et-forbilde,2022-04-07
1249,Klopp vil ikke ha Haaland: − Galskap,https://vg.no/sport/fotball/i/k6jxda/klopp-vil-ikke-ha-haaland-galskap,2022-04-07
1250,Magisk timing ga Manchester City første stikk,https://vg.no/sport/fotball/i/v5jX4L/magisk-timing-ga-manchester-city-foerste-stikk,2022-04-07
1251,Drømmeutgangspunkt for Liverpool – satte ny klubbrekord,https://vg.no/sport/fotball/i/343Qaq/droemmeutgangspunkt-for-liverpool-satte-ny-klubbrekord,2022-04-07
1252,Braut Brunes (21) herjet som fetter Haaland: − En av de kjekkeste dagene i mitt liv,https://vg.no/sport/fotball/i/ALVqBM/braut-brunes-21-herjet-som-fetter-haaland-en-av-de-kjekkeste-dagene-i-mitt-liv,2022-04-07
1253,Skråsikker Benzema: − Når vi får Mbappé vil vi score dobbelt så mange mål,https://vg.no/sport/fotball/i/47AXmV/skraasikker-benzema-naar-vi-faar-mbappe-vil-vi-score-dobbelt-saa-mange-maal,2022-04-07
1254,Graham Hansen: − Føler denne konflikten er medieskapt,https://vg.no/sport/fotball/i/0GAkOG/graham-hansen-foeler-denne-konflikten-er-medieskapt,2022-04-07
1255,Utålmodigheten har overrasket Rekdal: − Naivt å tenke at en ung tropp skal bli voksen over natten,https://vg.no/sport/fotball/i/5Gqr6O/utaalmodigheten-har-overrasket-rekdal-naivt-aa-tenke-at-en-ung-tropp-skal-bli-voksen-over-natten,2022-04-07
1256,Ødegaard lagde straffe da Arsenal ble knust i London-duell: − Fryktelig kamp,https://vg.no/sport/fotball/i/XqQEo7/oedegaard-lagde-straffe-da-arsenal-ble-knust-i-london-duell-fryktelig-kamp,2022-04-07
1257,Hegerberg hyller Klaveness: − Burde være en ekstrem inspirasjon,https://vg.no/sport/fotball/i/EaAKP3/hegerberg-hyller-klaveness-burde-vaere-en-ekstrem-inspirasjon,2022-04-07
1258,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-07
1259,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-04-07
1260,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-04-07
1261,Italiensk storavis: Bodø/Glimt er et mareritt for Roma,https://vg.no/sport/fotball/i/ML8r5J/italiensk-storavis-bodoe-glimt-er-et-mareritt-for-roma,2022-04-08
1262,Politiet involvert etter hendelse på Aspmyra - Glimt skal i møte om bråket,https://vg.no/sport/fotball/i/RrdeKa/politiet-involvert-etter-hendelse-paa-aspmyra-glimt-skal-i-moete-om-braaket,2022-04-08
1263,Mourinho etter nok en Aspmyra-smell: − Urettferdig resultat,https://vg.no/sport/fotball/i/XqQ7M7/mourinho-etter-nok-en-aspmyra-smell-urettferdig-resultat,2022-04-08
1264,Vetlesen sendte Bodø/Glimt til himmels – senket Roma i siste minutt,https://vg.no/sport/fotball/i/V9w8q4/vetlesen-sendte-bodoe-glimt-til-himmels-senket-roma-i-siste-minutt,2022-04-08
1265,Drømme-comeback for Hegerberg – scoret hat trick,https://vg.no/sport/fotball/i/1OpbrJ/droemme-comeback-for-hegerberg-scoret-hat-trick,2022-04-08
1266,Manchester City slapp CL-utestengelse: Ferske dokumenter sår ny tvil,https://vg.no/sport/fotball/i/1OpbMG/manchester-city-slapp-cl-utestengelse-ferske-dokumenter-saar-ny-tvil,2022-04-08
1267,Fantasy Premier League Gameweek 32: − Kan leke med god samvittighet,https://vg.no/sport/fotball/i/bGrwnq/fantasy-premier-league-gameweek-32-kan-leke-med-god-samvittighet,2022-04-08
1268,NFF-blemme: Glemte lag i cupoppsettet,https://vg.no/sport/fotball/i/dn92lX/nff-blemme-glemte-lag-i-cupoppsettet,2022-04-08
1269,Glimt-kometen «tatt på fersken» før Roma-møtet,https://vg.no/sport/fotball/i/nWjngL/glimt-kometen-tatt-paa-fersken-foer-roma-moetet,2022-04-08
1270,Ronaldo svarer etter Rooney-stikk: − Sjalu,https://vg.no/sport/fotball/i/V9wBvr/ronaldo-svarer-etter-rooney-stikk-sjalu,2022-04-08
1271,Knutsen forberedt på nytt «sirkus Mourinho»: − Driter i hva de gjør,https://vg.no/sport/fotball/i/JxAwPX/knutsen-forberedt-paa-nytt-sirkus-mourinho-driter-i-hva-de-gjoer,2022-04-08
1272,Ny Qatar-rapport slakter arbeidsforhold: − Veldig mye av det Klaveness sa er riktig,https://vg.no/sport/fotball/i/mrjEVq/ny-qatar-rapport-slakter-arbeidsforhold-veldig-mye-av-det-klaveness-sa-er-riktig,2022-04-08
1273,Benzema senket Chelsea: Hat trick – igjen ,https://vg.no/sport/fotball/i/8QA1gE/benzema-senket-chelsea-hat-trick-igjen,2022-04-08
1274,Mourinho slakter kunstgress: − En helt annen idrett,https://vg.no/sport/fotball/i/V9w2X4/mourinho-slakter-kunstgress-en-helt-annen-idrett,2022-04-08
1275,Nå kan Ada Hegerberg få selskap av storesøster på landslaget,https://vg.no/sport/fotball/i/28A0qB/naa-kan-ada-hegerberg-faa-selskap-av-storesoester-paa-landslaget,2022-04-08
1276,Ble cuphelt: Eikrem-dobbel sendte Molde til Ullevaal,https://vg.no/sport/fotball/i/JxA2L8/ble-cuphelt-eikrem-dobbel-sendte-molde-til-ullevaal,2022-04-08
1277,Landslagskometen om Hegerberg: − Har virkelig vært et forbilde,https://vg.no/sport/fotball/i/lVjagy/landslagskometen-om-hegerberg-har-virkelig-vaert-et-forbilde,2022-04-08
1278,Klopp vil ikke ha Haaland: − Galskap,https://vg.no/sport/fotball/i/k6jxda/klopp-vil-ikke-ha-haaland-galskap,2022-04-08
1279,Magisk timing ga Manchester City første stikk,https://vg.no/sport/fotball/i/v5jX4L/magisk-timing-ga-manchester-city-foerste-stikk,2022-04-08
1280,Drømmeutgangspunkt for Liverpool – satte ny klubbrekord,https://vg.no/sport/fotball/i/343Qaq/droemmeutgangspunkt-for-liverpool-satte-ny-klubbrekord,2022-04-08
1281,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-04-08
